"RTD End Time Stamp","Zone Name","Zone PTID","RTD Zonal LBMP","RTD Zonal Losses","RTD Zonal Congestion","RTD Zonal Price Version"
"2025/04/07 01:50:00","WEST","61752","41.38","-1.37","0","1"
"2025/04/07 01:55:00","CAPITL","61757","42.45","0.59","0","1"
"2025/04/07 01:55:00","CENTRL","61754","41.7","-0.17","0","1"
"2025/04/07 01:55:00","DUNWOD","61760","42.78","0.92","0","1"
"2025/04/07 01:55:00","GENESE","61753","40.61","-1.25","0","1"
"2025/04/07 01:55:00","H Q","61844","42.49","0.63","0","1"
"2025/04/07 01:55:00","HUD VL","61758","42.49","0.63","0","1"
"2025/04/07 01:55:00","LONGIL","61762","45.08","1.05","-2.17","1"
"2025/04/07 01:55:00","MHK VL","61756","42.78","0.92","0","1"
"2025/04/07 01:55:00","MILLWD","61759","42.53","0.67","0","1"
"2025/04/07 01:55:00","N.Y.C.","61761","44.7","1","-1.83","1"
"2025/04/07 01:55:00","NORTH","61755","43.24","1.38","0","1"
"2025/04/07 01:55:00","NPX","61845","41.99","0.13","0","1"
"2025/04/07 01:55:00","O H","61846","39.48","-2.38","0","1"
"2025/04/07 01:55:00","PJM","61847","41.4","-0.46","0","1"
"2025/04/07 01:55:00","WEST","61752","40.4","-1.47","0","1"
"2025/04/07 02:00:00","CAPITL","61757","43.34","0.55","0","1"
"2025/04/07 02:00:00","CENTRL","61754","42.7","-0.09","0","1"
"2025/04/07 02:00:00","DUNWOD","61760","43.6","0.81","0","1"
"2025/04/07 02:00:00","GENESE","61753","41.72","-1.07","0","1"
"2025/04/07 02:00:00","H Q","61844","43.47","0.68","0","1"
"2025/04/07 02:00:00","HUD VL","61758","43.34","0.55","0","1"
"2025/04/07 02:00:00","LONGIL","61762","45.81","0.94","-2.08","1"
"2025/04/07 02:00:00","MHK VL","61756","43.73","0.94","0","1"
"2025/04/07 02:00:00","MILLWD","61759","43.39","0.6","0","1"
"2025/04/07 02:00:00","N.Y.C.","61761","45.36","0.86","-1.71","1"
"2025/04/07 02:00:00","NORTH","61755","44.25","1.46","0","1"
"2025/04/07 02:00:00","NPX","61845","42.83","0.04","0","1"
"2025/04/07 02:00:00","O H","61846","40.74","-2.05","0","1"
"2025/04/07 02:00:00","PJM","61847","42.4","-0.39","0","1"
"2025/04/07 02:00:00","WEST","61752","41.64","-1.15","0","1"
"2025/04/07 02:05:00","CAPITL","61757","44.7","0.49","0","1"
"2025/04/07 02:05:00","CENTRL","61754","44.35","0.13","0","1"
"2025/04/07 02:05:00","DUNWOD","61760","44.88","0.66","0","1"
"2025/04/07 02:05:00","GENESE","61753","43.46","-0.75","0","1"
"2025/04/07 02:05:00","H Q","61844","44.92","0.71","0","1"
"2025/04/07 02:05:00","HUD VL","61758","44.65","0.44","0","1"
"2025/04/07 02:05:00","LONGIL","61762","46.94","0.8","-1.93","1"
"2025/04/07 02:05:00","MHK VL","61756","45.23","1.02","0","1"
"2025/04/07 02:05:00","MILLWD","61759","44.65","0.44","0","1"
"2025/04/07 02:05:00","N.Y.C.","61761","46.44","0.71","-1.52","1"
"2025/04/07 02:05:00","NORTH","61755","45.72","1.5","0","1"
"2025/04/07 02:05:00","NPX","61845","44.08","-0.13","0","1"
"2025/04/07 02:05:00","O H","61846","42.58","-1.63","0","1"
"2025/04/07 02:05:00","PJM","61847","43.99","-0.22","0","1"
"2025/04/07 02:05:00","WEST","61752","43.59","-0.62","0","1"
"2025/04/07 02:10:00","CAPITL","61757","44.66","0.53","0","1"
"2025/04/07 02:10:00","CENTRL","61754","44.26","0.13","0","1"
"2025/04/07 02:10:00","DUNWOD","61760","44.87","0.75","0","1"
"2025/04/07 02:10:00","GENESE","61753","43.2","-0.93","0","1"
"2025/04/07 02:10:00","H Q","61844","44.83","0.7","0","1"
"2025/04/07 02:10:00","HUD VL","61758","44.66","0.53","0","1"
