"RTD End Time Stamp","Interface Name","Interface PTID","RTD Flow MW","Positive Limit","Negative Limit"
"2025/04/07 01:35:00","ISONE-NYISO","23318","-155.93","1100","-1800"
"2025/04/07 01:35:00","NPX-1385","325277","66","160","-160"
"2025/04/07 01:35:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 01:35:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 01:35:00","PJM-NYISO","23316","973.8","2400","-2400"
"2025/04/07 01:40:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 01:40:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 01:40:00","IMO-NYISO","23317","1584.67","2200","-1850"
"2025/04/07 01:40:00","ISONE-NYISO","23318","-155.93","1100","-1800"
"2025/04/07 01:40:00","NPX-1385","325277","66","160","-160"
"2025/04/07 01:40:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 01:40:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 01:40:00","PJM-NYISO","23316","967.71","2400","-2400"
"2025/04/07 01:45:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 01:45:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 01:45:00","IMO-NYISO","23317","1584.67","2200","-1850"
"2025/04/07 01:45:00","ISONE-NYISO","23318","-162.99","1100","-1800"
"2025/04/07 01:45:00","NPX-1385","325277","66","160","-160"
"2025/04/07 01:45:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 01:45:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 01:45:00","PJM-NYISO","23316","971.1","2400","-2400"
"2025/04/07 01:50:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 01:50:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 01:50:00","IMO-NYISO","23317","1584.63","2200","-1850"
"2025/04/07 01:50:00","ISONE-NYISO","23318","-170.98","1100","-1800"
"2025/04/07 01:50:00","NPX-1385","325277","66","160","-160"
"2025/04/07 01:50:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 01:50:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 01:50:00","PJM-NYISO","23316","972.54","2400","-2400"
"2025/04/07 01:55:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 01:55:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 01:55:00","IMO-NYISO","23317","1584.64","2200","-1850"
"2025/04/07 01:55:00","ISONE-NYISO","23318","-170.95","1100","-1800"
"2025/04/07 01:55:00","NPX-1385","325277","66","160","-160"
"2025/04/07 01:55:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 01:55:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 01:55:00","PJM-NYISO","23316","972.43","2400","-2400"
"2025/04/07 02:00:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 02:00:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 02:00:00","IMO-NYISO","23317","1452.63","2200","-1850"
"2025/04/07 02:00:00","ISONE-NYISO","23318","-162.95","1100","-1800"
"2025/04/07 02:00:00","NPX-1385","325277","66","160","-160"
"2025/04/07 02:00:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 02:00:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 02:00:00","PJM-NYISO","23316","882.03","2400","-2400"
"2025/04/07 02:05:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 02:05:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 02:05:00","IMO-NYISO","23317","1320.64","2200","-1850"
"2025/04/07 02:05:00","ISONE-NYISO","23318","-155.98","1100","-1800"
"2025/04/07 02:05:00","NPX-1385","325277","66","160","-160"
"2025/04/07 02:05:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 02:05:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 02:05:00","PJM-NYISO","23316","792.29","2400","-2400"
"2025/04/07 02:10:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 02:10:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 02:10:00","IMO-NYISO","23317","1320.77","2200","-1850"
"2025/04/07 02:10:00","ISONE-NYISO","23318","-155.93","1100","-1800"
"2025/04/07 02:10:00","NPX-1385","325277","66","160","-160"
"2025/04/07 02:10:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 02:10:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 02:10:00","PJM-NYISO","23316","790.99","2400","-2400"
"2025/04/07 02:15:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 02:15:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 02:15:00","IMO-NYISO","23317","1320.93","2200","-1850"
"2025/04/07 02:15:00","ISONE-NYISO","23318","-147.93","1100","-1800"
"2025/04/07 02:15:00","NPX-1385","325277","66","160","-160"
"2025/04/07 02:15:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 02:15:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 02:15:00","PJM-NYISO","23316","790.91","2400","-2400"
"2025/04/07 02:20:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 02:20:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 02:20:00","IMO-NYISO","23317","1320.88","2200","-1850"
"2025/04/07 02:20:00","ISONE-NYISO","23318","-139.94","1100","-1800"
"2025/04/07 02:20:00","NPX-1385","325277","66","160","-160"
"2025/04/07 02:20:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 02:20:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 02:20:00","PJM-NYISO","23316","789.9","2400","-2400"
"2025/04/07 02:25:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 02:25:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 02:25:00","IMO-NYISO","23317","1320.95","2200","-1850"
"2025/04/07 02:25:00","ISONE-NYISO","23318","-139.94","1100","-1800"
"2025/04/07 02:25:00","NPX-1385","325277","66","160","-160"
"2025/04/07 02:25:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 02:25:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 02:25:00","PJM-NYISO","23316","789.94","2400","-2400"
"2025/04/07 02:30:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 02:30:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 02:30:00","IMO-NYISO","23317","1321.07","2200","-1850"
"2025/04/07 02:30:00","ISONE-NYISO","23318","-132.94","1100","-1800"
"2025/04/07 02:30:00","NPX-1385","325277","66","160","-160"
"2025/04/07 02:30:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 02:30:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 02:30:00","PJM-NYISO","23316","798.77","2400","-2400"
"2025/04/07 02:35:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 02:35:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 02:35:00","IMO-NYISO","23317","1321.18","2200","-1850"
"2025/04/07 02:35:00","ISONE-NYISO","23318","-125.93","1100","-1800"
"2025/04/07 02:35:00","NPX-1385","325277","66","160","-160"
"2025/04/07 02:35:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 02:35:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 02:35:00","PJM-NYISO","23316","804.77","2400","-2400"
"2025/04/07 02:40:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 02:40:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 02:40:00","IMO-NYISO","23317","1321.28","2200","-1850"
"2025/04/07 02:40:00","ISONE-NYISO","23318","-125.94","1100","-1800"
"2025/04/07 02:40:00","NPX-1385","325277","66","160","-160"
"2025/04/07 02:40:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 02:40:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 02:40:00","PJM-NYISO","23316","803.54","2400","-2400"
"2025/04/07 02:45:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 02:45:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 02:45:00","IMO-NYISO","23317","1321.13","2200","-1850"
"2025/04/07 02:45:00","ISONE-NYISO","23318","-120.93","1100","-1800"
"2025/04/07 02:45:00","NPX-1385","325277","66","160","-160"
"2025/04/07 02:45:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 02:45:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 02:45:00","PJM-NYISO","23316","797.89","2400","-2400"
"2025/04/07 02:50:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 02:50:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 02:50:00","IMO-NYISO","23317","1321.1","2200","-1850"
"2025/04/07 02:50:00","ISONE-NYISO","23318","-116.95","1100","-1800"
"2025/04/07 02:50:00","NPX-1385","325277","66","160","-160"
"2025/04/07 02:50:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 02:50:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 02:50:00","PJM-NYISO","23316","790.87","2400","-2400"
"2025/04/07 02:55:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 02:55:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 02:55:00","IMO-NYISO","23317","1321.06","2200","-1850"
"2025/04/07 02:55:00","ISONE-NYISO","23318","-116.94","1100","-1800"
"2025/04/07 02:55:00","NPX-1385","325277","66","160","-160"
"2025/04/07 02:55:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 02:55:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 02:55:00","PJM-NYISO","23316","791.92","2400","-2400"
"2025/04/07 03:00:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 03:00:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 03:00:00","IMO-NYISO","23317","1239.12","2200","-1850"
"2025/04/07 03:00:00","ISONE-NYISO","23318","-69.98","1100","-1800"
"2025/04/07 03:00:00","NPX-1385","325277","66","160","-160"
"2025/04/07 03:00:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 03:00:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 03:00:00","PJM-NYISO","23316","763.59","2400","-2400"
"2025/04/07 03:05:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 03:05:00","HQ-NYISO","23324","-981","1020","-980"
"2025/04/07 03:05:00","IMO-NYISO","23317","1158.05","2200","-1850"
"2025/04/07 03:05:00","ISONE-NYISO","23318","-22.96","1100","-1800"
"2025/04/07 03:05:00","NPX-1385","325277","66","160","-160"
"2025/04/07 03:05:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 03:05:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 03:05:00","PJM-NYISO","23316","743.78","2400","-2400"
"2025/04/07 03:10:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 03:10:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 03:10:00","IMO-NYISO","23317","1158.08","2200","-1850"
"2025/04/07 03:10:00","ISONE-NYISO","23318","-22.95","1100","-1800"
"2025/04/07 03:10:00","NPX-1385","325277","66","160","-160"
"2025/04/07 03:10:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 03:10:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 03:10:00","PJM-NYISO","23316","741.67","2400","-2400"
"2025/04/07 03:15:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 03:15:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 03:15:00","IMO-NYISO","23317","1158.13","2200","-1850"
"2025/04/07 03:15:00","ISONE-NYISO","23318","-34.96","1100","-1800"
"2025/04/07 03:15:00","NPX-1385","325277","66","160","-160"
"2025/04/07 03:15:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 03:15:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 03:15:00","PJM-NYISO","23316","741.42","2400","-2400"
"2025/04/07 03:20:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 03:20:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 03:20:00","IMO-NYISO","23317","1158.25","2200","-1850"
"2025/04/07 03:20:00","ISONE-NYISO","23318","-47.95","1100","-1800"
"2025/04/07 03:20:00","NPX-1385","325277","66","160","-160"
"2025/04/07 03:20:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 03:20:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 03:20:00","PJM-NYISO","23316","742.3","2400","-2400"
"2025/04/07 03:25:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 03:25:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 03:25:00","IMO-NYISO","23317","1158.25","2200","-1850"
"2025/04/07 03:25:00","ISONE-NYISO","23318","-47.93","1100","-1800"
"2025/04/07 03:25:00","NPX-1385","325277","66","160","-160"
"2025/04/07 03:25:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 03:25:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 03:25:00","PJM-NYISO","23316","740.25","2400","-2400"
"2025/04/07 03:30:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 03:30:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 03:30:00","IMO-NYISO","23317","1158.33","2200","-1850"
"2025/04/07 03:30:00","ISONE-NYISO","23318","-58.92","1100","-1800"
"2025/04/07 03:30:00","NPX-1385","325277","66","160","-160"
"2025/04/07 03:30:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 03:30:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 03:30:00","PJM-NYISO","23316","739.23","2400","-2400"
"2025/04/07 03:35:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 03:35:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 03:35:00","IMO-NYISO","23317","1158.43","2200","-1850"
"2025/04/07 03:35:00","ISONE-NYISO","23318","-70.84","1100","-1800"
"2025/04/07 03:35:00","NPX-1385","325277","66","160","-160"
"2025/04/07 03:35:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 03:35:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 03:35:00","PJM-NYISO","23316","741.42","2400","-2400"
"2025/04/07 03:40:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 03:40:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 03:40:00","IMO-NYISO","23317","1158.45","2200","-1850"
"2025/04/07 03:40:00","ISONE-NYISO","23318","-70.81","1100","-1800"
"2025/04/07 03:40:00","NPX-1385","325277","66","160","-160"
"2025/04/07 03:40:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 03:40:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 03:40:00","PJM-NYISO","23316","742.66","2400","-2400"
"2025/04/07 03:45:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 03:45:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 03:45:00","IMO-NYISO","23317","1158.36","2200","-1850"
"2025/04/07 03:45:00","ISONE-NYISO","23318","-44.87","1100","-1800"
"2025/04/07 03:45:00","NPX-1385","325277","66","160","-160"
"2025/04/07 03:45:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 03:45:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 03:45:00","PJM-NYISO","23316","740.4","2400","-2400"
"2025/04/07 03:50:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 03:50:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 03:50:00","IMO-NYISO","23317","1158.4","2200","-1850"
"2025/04/07 03:50:00","ISONE-NYISO","23318","-19.91","1100","-1800"
"2025/04/07 03:50:00","NPX-1385","325277","66","160","-160"
"2025/04/07 03:50:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 03:50:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 03:50:00","PJM-NYISO","23316","742.25","2400","-2400"
"2025/04/07 03:55:00","HQ-CEDARS","325274","-100","220","-100"
