"RTD End Time Stamp","Zone Name","Zone PTID","RTD Actual Load"
"2025/03/31 01:35:00","CAPITL","61757","1069.1392"
"2025/03/31 01:35:00","CENTRL","61754","1320.248"
"2025/03/31 01:35:00","DUNWOD","61760","487.6285"
"2025/03/31 01:35:00","GENESE","61753","844.8466"
"2025/03/31 01:35:00","HUD VL","61758","830.9032"
"2025/03/31 01:35:00","LONGIL","61762","1620.4427"
"2025/03/31 01:35:00","MHK VL","61756","709.81"
"2025/03/31 01:35:00","MILLWD","61759","222.8549"
"2025/03/31 01:35:00","N.Y.C.","61761","4220.073"
"2025/03/31 01:35:00","NORTH","61755","611.9023"
"2025/03/31 01:35:00","WEST","61752","1467.26"
"2025/03/31 01:40:00","CAPITL","61757","1067.7383"
"2025/03/31 01:40:00","CENTRL","61754","1319.9258"
"2025/03/31 01:40:00","DUNWOD","61760","509.4337"
"2025/03/31 01:40:00","GENESE","61753","839.9624"
"2025/03/31 01:40:00","HUD VL","61758","854.5363"
"2025/03/31 01:40:00","LONGIL","61762","1606.3384"
"2025/03/31 01:40:00","MHK VL","61756","691.0514"
"2025/03/31 01:40:00","MILLWD","61759","212.2903"
"2025/03/31 01:40:00","N.Y.C.","61761","4207.7324"
"2025/03/31 01:40:00","NORTH","61755","626.5779"
"2025/03/31 01:40:00","WEST","61752","1461.4216"
"2025/03/31 01:45:00","CAPITL","61757","1065.086"
"2025/03/31 01:45:00","CENTRL","61754","1294.8751"
"2025/03/31 01:45:00","DUNWOD","61760","501.5855"
"2025/03/31 01:45:00","GENESE","61753","842.6184"
"2025/03/31 01:45:00","HUD VL","61758","847.2983"
"2025/03/31 01:45:00","LONGIL","61762","1613.7705"
"2025/03/31 01:45:00","MHK VL","61756","699.338"
"2025/03/31 01:45:00","MILLWD","61759","218.9793"
"2025/03/31 01:45:00","N.Y.C.","61761","4181.7715"
"2025/03/31 01:45:00","NORTH","61755","619.5028"
"2025/03/31 01:45:00","WEST","61752","1472.1794"
"2025/03/31 01:50:00","CAPITL","61757","1084.0879"
"2025/03/31 01:50:00","CENTRL","61754","1310.777"
"2025/03/31 01:50:00","DUNWOD","61760","482.3661"
"2025/03/31 01:50:00","GENESE","61753","842.3251"
"2025/03/31 01:50:00","HUD VL","61758","840.7195"
"2025/03/31 01:50:00","LONGIL","61762","1624.3662"
"2025/03/31 01:50:00","MHK VL","61756","689.1871"
"2025/03/31 01:50:00","MILLWD","61759","207.9005"
"2025/03/31 01:50:00","N.Y.C.","61761","4189.3574"
"2025/03/31 01:50:00","NORTH","61755","616.9422"
"2025/03/31 01:50:00","WEST","61752","1477.7856"
"2025/03/31 01:55:00","CAPITL","61757","1068.037"
"2025/03/31 01:55:00","CENTRL","61754","1305.6355"
"2025/03/31 01:55:00","DUNWOD","61760","489.4887"
"2025/03/31 01:55:00","GENESE","61753","845.6295"
"2025/03/31 01:55:00","HUD VL","61758","849.3931"
"2025/03/31 01:55:00","LONGIL","61762","1607.0876"
"2025/03/31 01:55:00","MHK VL","61756","695.155"
"2025/03/31 01:55:00","MILLWD","61759","207.8522"
"2025/03/31 01:55:00","N.Y.C.","61761","4178.66"
"2025/03/31 01:55:00","NORTH","61755","625.5193"
"2025/03/31 01:55:00","WEST","61752","1477.1134"
"2025/03/31 02:00:00","CAPITL","61757","1045.426"
"2025/03/31 02:00:00","CENTRL","61754","1318.6141"
"2025/03/31 02:00:00","DUNWOD","61760","490.3867"
"2025/03/31 02:00:00","GENESE","61753","840.4487"
"2025/03/31 02:00:00","HUD VL","61758","832.9216"
"2025/03/31 02:00:00","LONGIL","61762","1592.6875"
"2025/03/31 02:00:00","MHK VL","61756","691.5352"
"2025/03/31 02:00:00","MILLWD","61759","219.0788"
"2025/03/31 02:00:00","N.Y.C.","61761","4148.551"
"2025/03/31 02:00:00","NORTH","61755","613.7061"
"2025/03/31 02:00:00","WEST","61752","1450.9331"
"2025/03/31 02:05:00","CAPITL","61757","1062.7251"
"2025/03/31 02:05:00","CENTRL","61754","1299.5018"
"2025/03/31 02:05:00","DUNWOD","61760","479.7993"
"2025/03/31 02:05:00","GENESE","61753","838.9254"
"2025/03/31 02:05:00","HUD VL","61758","843.2728"
"2025/03/31 02:05:00","LONGIL","61762","1586.4966"
"2025/03/31 02:05:00","MHK VL","61756","691.8273"
"2025/03/31 02:05:00","MILLWD","61759","217.2391"
"2025/03/31 02:05:00","N.Y.C.","61761","4151.585"
"2025/03/31 02:05:00","NORTH","61755","620.1102"
"2025/03/31 02:05:00","WEST","61752","1453.2327"
"2025/03/31 02:10:00","CAPITL","61757","1063.9337"
"2025/03/31 02:10:00","CENTRL","61754","1269.5385"
"2025/03/31 02:10:00","DUNWOD","61760","471.9399"
"2025/03/31 02:10:00","GENESE","61753","832.1453"
"2025/03/31 02:10:00","HUD VL","61758","806.7572"
"2025/03/31 02:10:00","LONGIL","61762","1597.489"
"2025/03/31 02:10:00","MHK VL","61756","696.1379"
"2025/03/31 02:10:00","MILLWD","61759","220.2419"
"2025/03/31 02:10:00","N.Y.C.","61761","4170.126"
"2025/03/31 02:10:00","NORTH","61755","622.5187"
"2025/03/31 02:10:00","WEST","61752","1449.6669"
"2025/03/31 02:15:00","CAPITL","61757","1071.2222"
"2025/03/31 02:15:00","CENTRL","61754","1306.621"
"2025/03/31 02:15:00","DUNWOD","61760","489.4089"
"2025/03/31 02:15:00","GENESE","61753","835.695"
"2025/03/31 02:15:00","HUD VL","61758","857.6449"
"2025/03/31 02:15:00","LONGIL","61762","1575.4738"
"2025/03/31 02:15:00","MHK VL","61756","681.4911"
"2025/03/31 02:15:00","MILLWD","61759","208.5941"
"2025/03/31 02:15:00","N.Y.C.","61761","4151.403"
"2025/03/31 02:15:00","NORTH","61755","624.7337"
"2025/03/31 02:15:00","WEST","61752","1466.9148"
"2025/03/31 02:20:00","CAPITL","61757","1053.7275"
"2025/03/31 02:20:00","CENTRL","61754","1315.5352"
"2025/03/31 02:20:00","DUNWOD","61760","475.6758"
"2025/03/31 02:20:00","GENESE","61753","832.627"
"2025/03/31 02:20:00","HUD VL","61758","843.4315"
"2025/03/31 02:20:00","LONGIL","61762","1587.4006"
"2025/03/31 02:20:00","MHK VL","61756","701.7855"
"2025/03/31 02:20:00","MILLWD","61759","210.3589"
"2025/03/31 02:20:00","N.Y.C.","61761","4128.7417"
"2025/03/31 02:20:00","NORTH","61755","614.4515"
"2025/03/31 02:20:00","WEST","61752","1463.9742"
"2025/03/31 02:25:00","CAPITL","61757","1061.6908"
"2025/03/31 02:25:00","CENTRL","61754","1316.8894"
"2025/03/31 02:25:00","DUNWOD","61760","475.393"
"2025/03/31 02:25:00","GENESE","61753","829.9112"
"2025/03/31 02:25:00","HUD VL","61758","823.8772"
"2025/03/31 02:25:00","LONGIL","61762","1588.522"
"2025/03/31 02:25:00","MHK VL","61756","683.6973"
"2025/03/31 02:25:00","MILLWD","61759","224.1651"
"2025/03/31 02:25:00","N.Y.C.","61761","4130.2207"
"2025/03/31 02:25:00","NORTH","61755","616.8506"
"2025/03/31 02:25:00","WEST","61752","1450.7974"
"2025/03/31 02:30:00","CAPITL","61757","1053.3595"
"2025/03/31 02:30:00","CENTRL","61754","1327.6699"
"2025/03/31 02:30:00","DUNWOD","61760","480.2518"
"2025/03/31 02:30:00","GENESE","61753","830.292"
"2025/03/31 02:30:00","HUD VL","61758","841.1623"
"2025/03/31 02:30:00","LONGIL","61762","1574.8553"
"2025/03/31 02:30:00","MHK VL","61756","690.8124"
"2025/03/31 02:30:00","MILLWD","61759","213.1848"
"2025/03/31 02:30:00","N.Y.C.","61761","4105.0205"
"2025/03/31 02:30:00","NORTH","61755","612.0593"
"2025/03/31 02:30:00","WEST","61752","1442.0923"
"2025/03/31 02:35:00","CAPITL","61757","1038.2054"
"2025/03/31 02:35:00","CENTRL","61754","1321.0239"
"2025/03/31 02:35:00","DUNWOD","61760","469.7498"
"2025/03/31 02:35:00","GENESE","61753","824.0963"
"2025/03/31 02:35:00","HUD VL","61758","825.7047"
"2025/03/31 02:35:00","LONGIL","61762","1572.0559"
"2025/03/31 02:35:00","MHK VL","61756","680.8679"
"2025/03/31 02:35:00","MILLWD","61759","217.0385"
"2025/03/31 02:35:00","N.Y.C.","61761","4099.3994"
"2025/03/31 02:35:00","NORTH","61755","621.0873"
"2025/03/31 02:35:00","WEST","61752","1434.2438"
"2025/03/31 02:40:00","CAPITL","61757","1070.2501"
"2025/03/31 02:40:00","CENTRL","61754","1337.0167"
"2025/03/31 02:40:00","DUNWOD","61760","490.4727"
"2025/03/31 02:40:00","GENESE","61753","830.1628"
"2025/03/31 02:40:00","HUD VL","61758","834.1793"
"2025/03/31 02:40:00","LONGIL","61762","1568.4939"
"2025/03/31 02:40:00","MHK VL","61756","679.1277"
"2025/03/31 02:40:00","MILLWD","61759","205.3852"
"2025/03/31 02:40:00","N.Y.C.","61761","4080.8994"
"2025/03/31 02:40:00","NORTH","61755","618.0552"
"2025/03/31 02:40:00","WEST","61752","1442.2117"
"2025/03/31 02:45:00","CAPITL","61757","1066.007"
"2025/03/31 02:45:00","CENTRL","61754","1331.9452"
"2025/03/31 02:45:00","DUNWOD","61760","474.6099"
"2025/03/31 02:45:00","GENESE","61753","825.5134"
"2025/03/31 02:45:00","HUD VL","61758","817.3422"
"2025/03/31 02:45:00","LONGIL","61762","1560.56"
"2025/03/31 02:45:00","MHK VL","61756","691.8673"
"2025/03/31 02:45:00","MILLWD","61759","221.146"
"2025/03/31 02:45:00","N.Y.C.","61761","4102.422"
"2025/03/31 02:45:00","NORTH","61755","618.2911"
"2025/03/31 02:45:00","WEST","61752","1451.376"
"2025/03/31 02:50:00","CAPITL","61757","1061.4424"
"2025/03/31 02:50:00","CENTRL","61754","1331.6875"
"2025/03/31 02:50:00","DUNWOD","61760","474.0683"
"2025/03/31 02:50:00","GENESE","61753","824.9199"
"2025/03/31 02:50:00","HUD VL","61758","806.6032"
"2025/03/31 02:50:00","LONGIL","61762","1565.0559"
"2025/03/31 02:50:00","MHK VL","61756","680.5574"
"2025/03/31 02:50:00","MILLWD","61759","217.678"
"2025/03/31 02:50:00","N.Y.C.","61761","4088.2505"
"2025/03/31 02:50:00","NORTH","61755","628.9504"
"2025/03/31 02:50:00","WEST","61752","1440.2126"
"2025/03/31 02:55:00","CAPITL","61757","1049.0247"
"2025/03/31 02:55:00","CENTRL","61754","1349.0659"
"2025/03/31 02:55:00","DUNWOD","61760","479.424"
"2025/03/31 02:55:00","GENESE","61753","825.8292"
"2025/03/31 02:55:00","HUD VL","61758","822.3899"
"2025/03/31 02:55:00","LONGIL","61762","1550.206"
"2025/03/31 02:55:00","MHK VL","61756","697.7316"
"2025/03/31 02:55:00","MILLWD","61759","217.3057"
"2025/03/31 02:55:00","N.Y.C.","61761","4078.1646"
"2025/03/31 02:55:00","NORTH","61755","614.6224"
"2025/03/31 02:55:00","WEST","61752","1436.5928"
"2025/03/31 03:00:00","CAPITL","61757","1053.8127"
"2025/03/31 03:00:00","CENTRL","61754","1299.8699"
"2025/03/31 03:00:00","DUNWOD","61760","469.1923"
"2025/03/31 03:00:00","GENESE","61753","813.8146"
"2025/03/31 03:00:00","HUD VL","61758","821.8362"
"2025/03/31 03:00:00","LONGIL","61762","1548.5425"
"2025/03/31 03:00:00","MHK VL","61756","681.7194"
"2025/03/31 03:00:00","MILLWD","61759","217.0409"
"2025/03/31 03:00:00","N.Y.C.","61761","4059.0854"
"2025/03/31 03:00:00","NORTH","61755","615.7595"
"2025/03/31 03:00:00","WEST","61752","1441.5773"
"2025/03/31 03:05:00","CAPITL","61757","1058.7964"
"2025/03/31 03:05:00","CENTRL","61754","1236.7303"
"2025/03/31 03:05:00","DUNWOD","61760","475.894"
"2025/03/31 03:05:00","GENESE","61753","829.7051"
"2025/03/31 03:05:00","HUD VL","61758","810.288"
"2025/03/31 03:05:00","LONGIL","61762","1543.9131"
"2025/03/31 03:05:00","MHK VL","61756","685.1466"
"2025/03/31 03:05:00","MILLWD","61759","200.959"
"2025/03/31 03:05:00","N.Y.C.","61761","4072.444"
"2025/03/31 03:05:00","NORTH","61755","618.7739"
"2025/03/31 03:05:00","WEST","61752","1440.295"
"2025/03/31 03:10:00","CAPITL","61757","1051.4805"
"2025/03/31 03:10:00","CENTRL","61754","1293.1869"
"2025/03/31 03:10:00","DUNWOD","61760","469.5488"
"2025/03/31 03:10:00","GENESE","61753","825.4956"
"2025/03/31 03:10:00","HUD VL","61758","821.0507"
